Year,Yearly Rank,Source,Prefix,CH,40,10,PK,High,Verified,Artist,Artist Inverted,Featured,UnFeatured,Album,B-Side,Track,Time,Time Source,explicit,Time (Album),Artist ID,SYMBL,ReIssue,Label/Number,Media,Stereo (55-68),Pic Sleeve,Genre,Comments,Written By,Temp 1,Date Entered,Date Peaked,1st Week,2nd Week,3rd Week,4th Week,5th Week,6th Week,7th Week,8th Week,9th Week,10th Week,11th Week,12th Week,13th Week,14th Week,15th Week,16th Week,17th Week,18th Week,19th Week,20th Week,21st Week,22nd Week,23rd Week,24th Week,25th Week,26th Week,27th Week,28th Week,29th Week,30th Week,31st Week,32nd Week,33rd Week,34th Week,35th Week,36th Week,37th Week,38th Week,39th Week,40th Week,41st Week,42nd Week,43rd Week,44th Week,45th Week,46th Week,47th Week,48th Week,49th Week,50th Week,51st Week,52nd Week,53rd Week,54th Week,55th Week,56th Week,57th Week,58th Week,59th Week,60th Week,61st Week,62nd Week,63rd Week,64th Week,65th Week,66th Week,67th Week,68th Week,69th Week,70th Week,71st Week,72nd Week,73rd Week,74th Week,75th Week,76th Week,77th Week,78th Week,79th Week,80th Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,338,h,2014-011,12,6,0,1,19,,Kid Ink,Kid Ink,Featuring Chris Brown,,s,,Show Me,3:39,,x,,8277,,,Tha Alumni Group/88 Digital,DD,,,,,"B.T.Collins,D.McFarlane,C.Jones,J.Felton,C.M.Brown,A.George,C.McFarlane",687,10/5/2013,2/8/2014,82,,,,,,,,68,67,55,48,39,29,42,31,21,24,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,340,h,2014-012,19,0,0,1,50,,Martin Garrix,"Garrix, Martin",,,s,,Animals,5:03,,,,8328,,,Spinnin'/Silent/Casablanca Digital,DD,,,,,M.Garrix,570,10/5/2013,2/8/2014,86,99,93,88,88,87,75,81,83,72,63,51,56,59,55,51,59,53,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,355,h,2014-013,18,8,2,2,8,,Lorde,Lorde,,,Pure Heroine,,Team,3:13,,,,8304,,,Lava Digital,DD,,,,,"E.Y.O'Connor,J.Little",881,10/12/2013,2/1/2014,90,69,80,84,86,91,88,85,74,57,32,23,18,19,14,11,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,363,h,2014-014,17,4,0,1,38,,David Nail,"Nail, David",,,s,,Whatever She's Got,3:55,,,,8061,,,MCA Nashville Digital,DD,,,,,"J.Robbins,J.M.Nite",751,10/19/2013,2/8/2014,91,85,76,74,71,70,61,52,52,46,43,40,46,43,39,39,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,365,h,2014-015,7,5,0,1,22,,Miley Cyrus,"Cyrus, Miley",,,Bangerz (Deluxe Version),,Adore You,4:38,,xc,,7904,,,RCA Digital,DD,,,,,"S.Barthe,O.Yoel",438,10/26/2013,1/11/2014,42,79,,,,,,,,,,22,32,34,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,366,h,2014-016,16,14,11,3,1,,Pitbull,Pitbull,Featuring Ke$ha ,,s,,Timber,3:24,,,,4915,,,Mr. 305/Polo Grounds/J Digital,DD,,,,,"A.C.Perez,K.Sebert,L.Gottwald,P.R.Hamilton,J.Sanderson,B.S.Isaac,H.Walter,P.Sebert,L.Oskar,K.Oskar,G.Errico",1416,10/26/2013,1/18/2014,49,46,35,20,15,10,8,4,2,2,2,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,179,h,2013-001,48,17,0,1,20,,Of Monsters And Men,Of Monsters And Men,,,My Head Is An Animal,--,Little Talks,4:26,,,,8240,,, Skrimsl Ehf Laekjaras 1 Digital,DD,,,,,"A.R.Hilmarsson,B.Leifsson,N.B.Hilmarsdtir,R.Porhallsson",2363,4/21/2012,2/16/2013,92,80,82,88,85,87,81,82,80,79,79,73,71,66,59,59,59,56,51,50,49,50,52,53,53,53,,,,,,,,49,45,41,31,32,38,27,27,25,23,20,22,31,26,28,26,28,29,32,37,49,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,228,h,2013-002,40,33,13,1,6,,Phillip Phillips,"Phillips, Phillip",,,s,--,Home,3:29,,,,8247,,,19 Digital,DD,,,Rock,,"D.Pearson,G.Holden",3040,6/9/2012,1/19/2013,10,41,99,,,,,96,,84,9,9,17,23,21,22,23,22,27,25,19,17,14,13,14,12,8,7,7,8,9,9,6,9,10,9,15,17,30,29,36,37,41,46,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,244,h,2013-003,47,29,0,2,15,,Imagine Dragons,Imagine Dragons,,,Continued Silence - EP,--,It's Time,3:59,,,,8221,,,KIDinaKORNER Digital,DD,,,,,"D.Reynolds,W.Sermon,B.McKee",2735,6/23/2012,1/26/2013,93,92,89,89,91,82,81,85,83,79,69,67,63,49,33,37,40,41,39,35,30,31,23,22,24,25,24,19,18,21,19,15,16,15,16,16,23,23,22,23,22,23,28,33,47,48,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,254,h,2013-004,24,19,10,2,5,,pitbull,"Bieber, Justin",Featuring Nicki Minaj,,Believe (Deluxe Edition),--,Beauty And A Beat,3:47,,,,8047,,,School Boy/Raymond Braun/Island Digital,DD,,,,,"Max Martin,A.Zaslavski,S.Kotecha,O.T.Maraj",1832,7/7/2012,1/5/2013,72,,,,,,,,,,,,,,,,,71,70,54,38,20,13,14,9,7,5,5,7,8,9,7,7,10,16,18,24,31,33,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
