artist,track,date,danceability,energy,mood,track_id,mxm_track_id
Bobby Bland,Share Your Love With Me,7/25/1964,0.23,0.53,0.41,TRCZISH128F92D13A3,2367583
Del Shannon,Do You Want To Dance,10/17/1964,0.41,0.6,0.96,TRCHEJC12903CEA10A,9443544
Skeeter Davis,He Says The Same Things To Me,2/29/1964,0.36,0.3,0.29,TRAEQQE128F42920E3,3361581
Skeeter Davis,Gonna Get Along Without You Now,6/6/1964,0.42,0.43,0.74,TRLNINA128F42920FD,3361587
Gene Pitney,That Girl Belongs To Yesterday,2/22/1964,0.51,0.59,0.61,TRZNOUO12903C973ED,9436024
King Curtis,Soul Serenade,5/23/1964,0.44,0.3,0.48,TRVRSPN12903CF76D4,9547535
Betty Everett,You're No Good,1/25/1964,0.71,0.32,0.85,TRCZURP12903CD9FBA,8068594
Irma Thomas,Anyone Who Knows What Love Is (Will Understand),8/1/1964,0.4,0.27,0.21,TREMJCL128F1484AB4,2030328
Bobby Vee,I'll Make You Mine,4/4/1964,0.35,0.62,0.72,TRXHDLV128F14882A2,2935555
Ray Charles,Smack Dab In The Middle,10/31/1964,0.52,0.51,0.63,TRTSASI12903CC26E8,5875613
Vic Dana,Love Is All We Need,8/22/1964,0.17,0.4,0.45,TRBOOAN12903CBEEAD,2505303
Eddie Holland,Just Ain't Enough Love,7/4/1964,0.55,0.47,0.67,TRKKXTM128F931B14C,5095777
Aretha Franklin,Runnin' Out Of Fools,11/14/1964,0.53,0.31,0.57,TRAAKZS128F426AEAF,8512845
Ray Conniff,Invisible Tears,9/12/1964,0.57,0.64,0.87,TRPDPTV128F930B48D,3246678
Johnny Cash,It Ain't Me Babe,11/28/1964,0.61,0.41,0.47,TRWZKCD128F932095D,5164448
Eddie Holland,Candy To Me,9/19/1964,0.63,0.68,0.83,TRQMFRX128F92DE0A1,5096330
Brooks O'Dell,Watch Your Step,2/1/1964,0.51,0.57,0.54,TRJVCUA128F934822D,6915637
Brenda Holloway,I'll Always Love You,8/22/1964,0.42,0.39,0.34,TRDYEAU128E0784CCC,5096320
Bobby Bare,Four Strong Winds,11/28/1964,0.65,0.29,0.62,TRGTOLH128F4289EE7,1930300
Otis Redding,Pain In My Heart,2/8/1964,0.43,0.28,0.72,TRQISDF12903CB0595,2109767
Jerry Butler,I Stand Accused,9/12/1964,0.28,0.49,0.42,TRKPWCD128F4232AFB,8371630
Major Lance,Sometimes I Wonder,12/26/1964,0.66,0.5,0.78,TRDXPGS128F4269E0A,8330854
Gloria Lynne,I Should Care,4/25/1964,0.14,0.46,0.11,TRPPOSD12903CE4B9C,2925941
Gene Pitney,Yesterday's Hero,5/30/1964,0.56,0.53,0.81,TRMFUUE128EF365DA6,13258752
Betty Everett,I Can't Hear You,7/18/1964,0.54,0.47,0.61,TRUUDOS128F4234250,2919043
Andy Williams,Almost There,11/28/1964,0.41,0.43,0.46,TRBVTXP12903CED44A,4991041
Hank Williams Jr.,Long Gone Lonesome Blues,3/21/1964,0.58,0.48,0.65,TRMORAR128F1484D0C,3897510
Walter Jackson,It's All Over,12/19/1964,0.5,0.51,0.63,TRCLIWN128F426FC24,5271774
Major Lance,It Ain't No Use,7/4/1964,0.75,0.5,0.93,TRFOUDY128F4268858,8330865
Major Lance,Girls,7/25/1964,0.79,0.64,0.94,TRTKQBR128F426885D,5287780
Otis Redding,Come To Me,5/2/1964,0.47,0.23,0.56,TRFETQK128F423DEFB,1130997
Pete Seeger,Little Boxes,2/22/1964,0.78,0.14,0.62,TRINOOX128F4269B61,6707961
P.J. Proby,Hold Me,9/12/1964,0.52,0.8,0.63,TRBETID12903CDFBC4,5641791
Ray Peterson,The Wonder Of You,5/2/1964,0.21,0.41,0.22,TRPTZEC12903D13E22,2806546
Lesley Gore,Hey Now,11/14/1964,0.59,0.55,0.96,TRSYHZK128F92D5BC5,6622180
Eddie Holland,Leaving Here,2/22/1964,0.32,0.9,0.84,TRRVDIM128F9351D9E,9833467
Jimmy McGriff,Kiko,6/6/1964,0.68,0.56,0.88,TRYBHJR128F42961DF,10065441
Cilla Black,It's For You,10/3/1964,0.38,0.46,0.66,TRTUDNM128F429FE63,2151655
Jim Reeves,I Guess I'm Crazy,10/3/1964,0.47,0.26,0.58,TRAJBSL128F428A021,1813457
Dee Dee Sharp,Where Did I Go Wrong,2/15/1964,0.61,0.7,0.89,TRXWZTH128F9321316,8847721
B.B. King,Beautician Blues,11/21/1964,0.71,0.46,0.84,TRLHVXB128F92E0E6F,7551033
Lesley Gore,Sometimes I Wish I Were A Boy,11/21/1964,0.6,0.25,0.93,TRXJZFC128F92D5BC6,6622186
B.B. King,Never Trust A Woman,11/21/1964,0.62,0.34,0.67,TRRSTOQ128F933558C,8256196
Sonny James,You're The Only World I Know,12/19/1964,0.48,0.38,0.37,TRPORYL128F1494B07,8596451
Bill Black's Combo,Tequila,5/23/1964,0.49,0.53,0.71,TRCDKFE128F92CD0B6,2849137
Inez Foxx,Ask Me,2/8/1964,0.81,0.53,0.88,TREICSY128F9339721,2948172
Jim Reeves,I Won't Forget You,12/5/1964,0.43,0.11,0.4,TRNZONG128F429EEEA,1397072
Buck Owens,My Heart Skips A Beat,7/11/1964,0.6,0.52,0.86,TRZTWFB128F429324E,7965489
James Brown,Caldonia,5/9/1964,0.61,0.44,0.89,TRZZBAH128F4238737,6701772
B.B. King,How Blue Can You Get,3/28/1964,0.4,0.41,0.43,TRYCTMU128F4283E91,8809930
Bobby Vee,Pretend You Don't See Her,12/5/1964,0.3,0.56,0.5,TRVGDWZ128F14882A9,2543789
B.B. King,Help The Poor,7/4/1964,0.67,0.4,0.75,TRXCFWD128F9335584,8256194
Baby Washington,It'll Never Be Over For Me,12/12/1964,0.65,0.43,0.8,TRTGQQM128E0789B00,5377408
Andy Williams,Charade,1/18/1964,0.21,0.42,0.35,TRFCADD128F426E8AC,9183038
Herman's Hermits,Mrs. Brown You've Got A Lovely Daughter,5/1/1965,0.61,0.36,0.71,TRJFRXM128F935F971,5030147
Barry McGuire,Eve Of Destruction,9/25/1965,0.6,0.59,0.86,TRTWKWJ128F92D3FD7,1171817
Wayne Fontana,Game Of Love,4/24/1965,0.57,0.8,0.94,TRDMKBV128F92F2D03,8561304
Sam the Sham and the Pharaohs,Wooly Bully,6/5/1965,0.63,0.86,0.83,TRDHDQY12903CCC67A,4881649
Bob Dylan,Like A Rolling Stone,9/4/1965,0.11,0.93,0.15,TRQYBUJ128F427A3E7,4852420
Roy Head,Treat Her Right,10/16/1965,0.45,0.9,0.93,TRTOOGN12903CF9F65,8176362
Jewel Akens,The Birds And The Bees,3/20/1965,0.79,0.46,0.96,TRNGIMF128F92F316D,8510506
Petula Clark,I Know A Place,5/1/1965,0.61,0.84,0.62,TRSWZYM128F422F9DE,1999013
Roger Miller,King Of The Road,3/20/1965,0.43,0.71,0.74,TRCUISK12903CC5EBB,1561043
Fontella Bass,Rescue Me,11/20/1965,0.74,0.71,0.88,TRAXULE128F9320132,3970543
Joe Tex,Hold What You've Got,1/30/1965,0.55,0.3,0.26,TRZYAEO12903C9A99A,8239976
Marvin Gaye,How Sweet It Is (To Be Loved By You),1/30/1965,0.68,0.52,0.67,TRYLDWG128F92E249A,9221085
Eddy Arnold,Make The World Go Away,12/25/1965,0.31,0.22,0.51,TRDSOOD128F429E94B,10063513
Sam Cooke,Shake,2/27/1965,0.54,0.83,0.72,TRWLYED128E078A45F,6678116
Marvin Gaye,Ain't That Peculiar,11/20/1965,0.57,0.22,0.92,TRBYBGB128F92E249C,2921520
Roger Miller,England Swings,12/18/1965,0.67,0.22,0.49,TREADNX128F1455EC9,10060841
Marvin Gaye,I'll Be Doggone,5/15/1965,0,0.09,0,TRBHPHW128C7196B07,9221086
Peter and Gordon,I Go To Pieces,2/20/1965,0.59,0.61,0.86,TRTFBGJ128F1461E69,12684662
Del Shannon,Keep Searchin' (We'll Follow The Sun),1/30/1965,0.43,0.7,0.71,TRLRPUJ12903D02DA0,3270093
Billy Joe Royal,Down In The Boondocks,8/28/1965,0.58,0.61,0.62,TRBUUIZ12903CB725E,5495937
Vic Dana,Red Roses For A Blue Lady,4/3/1965,0.34,0.37,0.34,TROGVAZ128F92F0CAE,9200832
Sounds Orchestral,Cast Your Fate To The Wind,5/8/1965,0.52,0.31,0.39,TRYNHSE12903CBF477,8974270
Little Anthony and the Imperials,Hurt So Bad,3/13/1965,0.47,0.54,0.33,TRWQHZM12903CDDB07,5495789
Barbara Lewis,Make Me Your Baby,10/30/1965,0.45,0.49,0.64,TRYNTAH128F932529F,1274305
Elvis Presley,(Such An) Easy Question,7/24/1965,0.59,0.2,0.69,TRHIBES128F42855AF,6436484
Glenn Yarbrough,Baby The Rain Must Fall,5/22/1965,0.58,0.76,0.78,TRLVZDP128F92F2D17,781508
Jody Miller,Queen Of The House,6/5/1965,0.66,0.29,0.79,TRFARQI128F92F12CE,7859232
Sir Douglas Quintet,She's About A Mover,5/29/1965,0.48,0.87,0.82,TRAJCHY128EF349619,2459640
Gene Pitney,Last Chance To Turn Around,6/19/1965,0.46,0.72,0.48,TROIMJB128EF365D9F,9436027
Freddy Cannon,Action,9/18/1965,0.63,0.74,0.96,TRQQHNA12903CBC90B,5252339
Billy Joe Royal,I Knew You When,11/6/1965,0.4,0.36,0.51,TRRGJPH12903CB726F,5495938
Alvin Cash,Twine Time,2/20/1965,0.78,0.21,0.72,TRMEUNW128F92F2BCF,9699489
Peter and Gordon,True Love Ways,6/5/1965,0.36,0.46,0.42,TRBBDPZ128F1461E5E,9200836
Ronnie Dove,A Little Bit Of Heaven,7/17/1965,0.47,0.26,0.38,TRJRAVL128F9359A34,2928689
Jonathan King,Everyone's Gone To The Moon,11/6/1965,0.33,0.33,0.28,TRSPRUP128F9335A6A,5874993
Bobby Vinton,Long Lonely Nights,4/10/1965,0.35,0.38,0.33,TRSJRFK128F427F24C,5481291
Gene Chandler,Nothing Can Stop Me,6/19/1965,0.58,0.49,0.72,TRODHAN128F92FE93B,1437058
Trini Lopez,Lemon Tree,2/20/1965,0.57,0.63,0.79,TRKRRXB12903CC2BB6,7967597
Charlie Rich,Mohair Sam,10/16/1965,0.77,0.62,0.97,TRKIQIJ128F429BEDB,1065177
Wilson Pickett,In The Midnight Hour,9/4/1965,0.86,0.32,0.76,TRLPTGJ128F4288A7F,8712576
Ronnie Dove,I'll Make All Your Dreams Come True,10/9/1965,0.42,0.35,0.3,TRXVQGN12903CD8BF2,2928690
Bobby Vinton,L-O-N-E-L-Y,6/5/1965,0.2,0.25,0.35,TRMCZPO128F427F244,5481288
Sue Thompson,Paper Tiger,2/20/1965,0.82,0.54,0.87,TRXHURY128F935E50C,8510511
Maxine Brown,Oh No Not My Baby,1/2/1965,0.58,0.44,0.7,TRBNHZY12903CC9ED8,9435625
Four Tops,Ask The Lonely,3/13/1965,0.38,0.65,0.25,TRREPVD128F931B1E1,7121227
Marianne Faithfull,Summer Nights,9/25/1965,0.58,0.45,0.68,TRMQUXU128F1456259,8832886
Little Milton,We're Gonna Make It,5/15/1965,0.58,0.25,0.82,TRJRLFB128F92D0675,8851036
Roy Orbison,Ride Away,10/9/1965,0.54,0.43,0.49,TRUUKVH128F42AD93B,8934558
Brenda Holloway,When I'm Gone,4/24/1965,0.42,0.55,0.66,TRAMESY128F9309D01,9389613
Ronnie Dove,Kiss Away,12/11/1965,0.42,0.17,0.08,TRUXCQM12903CAA811,2928691
Marianne Faithfull,Come And Stay With Me,4/17/1965,0.51,0.42,0.82,TRPNDTA128F42480BD,3401032
San Remo Golden Strings,Hungry For Love,10/30/1965,0.75,0.54,0.61,TRUNXSD128F1463A04,781593
Lesley Gore,Look Of Love,2/13/1965,0.36,0.73,0.56,TRVRZXQ128F92D5BC7,6622183
Lee Dorsey,Ride Your Pony,8/14/1965,0.93,0.59,0.91,TRBBQTI128F42AB1FD,5606797
Del Shannon,Stranger In Town,3/20/1965,0.28,0.75,0.49,TRIHTGG12903CC1CEF,3270092
Gene Pitney,I Must Be Seeing Things,3/27/1965,0.56,0.27,0.59,TRUCCYY12903CECEF1,13258737
Roger Miller,Kansas City Star,10/9/1965,0.76,0.32,0.89,TRNCUUT128F1455EC8,10060835
Tony Clarke,The Entertainer,5/8/1965,0.74,0.65,0.79,TRJOVXI128E0791CFA,8057819
Bert Kaempfert and His Orchestra,Three O'Clock In The Morning,6/5/1965,0.6,0.25,0.4,TRWTRFT128F92DE080,12485742
Roger Miller,One Dyin' And A Buryin',8/14/1965,0.53,0.3,0.38,TRXABDM128F1455EC6,10060839
Otis Redding,Respect,11/6/1965,0.7,0.83,0.95,TRXPBSK128F423DF2F,850479
Mel Carter,(All Of A Sudden) My Heart Sings,12/4/1965,0.57,0.54,0.5,TRYQJER128F1473830,4493978
Roy Orbison,(Say) You're My Girl,8/14/1965,0.43,0.54,0.82,TRVAGEA128F426AB73,8705235
Bob Dylan,Subterranean Homesick Blues,5/15/1965,0.5,0.81,0.77,TRGTMWR128F92F76F4,4927051
Gene Chandler,What Now,1/16/1965,0.57,0.42,0.54,TRQSRQS128F92FE93D,7973469
Major Lance,Come See,4/3/1965,0.8,0.6,0.9,TRAJCJT128F4269E0C,8330862
Otis Redding,Mr. Pitiful,4/10/1965,0.76,0.52,0.66,TRQBJYG12903CD2B03,762832
Chuck Berry,Promised Land,1/9/1965,0.46,0.84,0.96,TRBODDD128F42B2A53,12303394
Al Hirt,Fancy Pants,2/13/1965,0.55,0.62,0.93,TREPURV128F9319A66,1248836
Herb Alpert And The Tijuana Brass,3rd Man Theme,10/2/1965,0.56,0.8,0.73,TRBBRDP128F92F6097,2399131
Kim Weston,Take Me In Your Arms (Rock Me a Little While),11/13/1965,0.43,0.77,0.78,TRBKHJE128F931F762,2522487
Joan Baez,There But For Fortune,10/9/1965,0.38,0.06,0.13,TRESXVS128F9318C8F,1407866
Manfred Mann,Come Tomorrow,3/20/1965,0.5,0.38,0.66,TRDNCDF128F14595EF,2021102
Vic Dana,Crystal Chandelier,12/25/1965,0.6,0.41,0.61,TRHTCFT12903CBEEB5,2505310
Sandie Shaw,(There's) Always Something There To Remind Me,1/2/1965,0.63,0.43,0.76,TRGSJAO12903CA55F5,8625972
Ronnie Dove,Hello Pretty Girl,2/13/1965,0.72,0.45,0.93,TRBBKUR12903CD8BF0,7824303
Robert Goulet,Summer Sounds,7/10/1965,0.5,0.43,0.73,TRHPWMB128F4264720,9922155
Stevie Wonder,High Heel Sneakers,10/2/1965,0.31,0.94,0.66,TRYZOKK128F931B25D,5652382
Donovan,Colours,9/18/1965,0.5,0.26,0.55,TROTJJE128F93587CE,3819279
Dionne Warwick,Who Can I Turn To,4/3/1965,0.28,0.06,0.05,TRBMDGL12903CDB507,4152200
Jerry Butler,Good Times,3/13/1965,0.44,0.51,0.74,TRPHVFF128E0790EC0,3809014
Betty Everett,Getting Mighty Crowded,1/2/1965,0.61,0.46,0.87,TRPQKMJ128E0790AD4,8068618
Vic Dana,Bring A Little Sunshine (To My Heart),6/26/1965,0.45,0.33,0.36,TRJMPVN12903CBEEB1,2505307
Jewel Akens,Georgie Porgie,5/29/1965,0.81,0.5,0.85,TRZDIMO128F92F186E,4533534
Baby Washington,Only Those In Love,9/11/1965,0.23,0.42,0.27,TRZEYNN128E0789B01,5377405
Danny Hutton,Roses And Rainbows,11/13/1965,0.55,0.74,0.87,TRBGWTP12903CBD4DF,8903610
Ed Ames,Try To Remember,2/20/1965,0.29,0.36,0.19,TRCBWFQ128F426B896,1438803
Otis Redding,That's How Strong My Love Is,2/13/1965,0.48,0.56,0.76,TRQNGQK12903CD2B0B,2109771
Patti LaBelle,Danny Boy,1/2/1965,0.14,0.32,0.13,TRIHFOP12903CC66A5,5179366
Dee Dee Sharp,I Really Love You,12/18/1965,0.6,0.59,0.74,TRXCXLO128F932131E,3876653
Derek Martin,You Better Go,9/4/1965,0.32,0.26,0.15,TRMZMET128F426E786,1706987
Brenda Holloway,Operator,7/3/1965,0.6,0.5,0.82,TRGVLNJ128E0784CCD,9833663
Wayne Newton,Summer Wind,8/28/1965,0.47,0.32,0.55,TRNTWHV128F145AC70,8119996
Jim Reeves,Is It Really Over?,9/11/1965,0.28,0.03,0.28,TRLHDCT128F428A205,7780477
Connie Francis,Roundabout,9/18/1965,0.4,0.37,0.45,TRGOAJR128F92C7E77,3355531
Johnny Cash,Orange Blossom Special,3/13/1965,0.6,0.81,0.83,TRYBAJV128F42800A6,8130116
Lesley Gore,I Won't Love You Anymore (Sorry),12/18/1965,0.5,0.21,0.85,TRWLKVE128F92D5BCC,5330566
Willie Mitchell,Percolatin',1/2/1965,0.88,0.35,0.86,TRJDCIJ128F92D1263,12592517
O.V. Wright,You're Gonna Make Me Cry,9/18/1965,0.4,0.09,0.4,TRTZJAG128F14956FD,7993001
Little Milton,Blind Man,1/16/1965,0.34,0.69,0.45,TRFXCUV128F42307D1,8851042
Marianne Faithfull,Go Away From My World,12/25/1965,0.53,0.46,0.53,TRIDJFG128F42480BF,8832880
Dusty Springfield,Losing You,3/27/1965,0.38,0.61,0.49,TRGZMSR128F148194C,4895985
Jimmy Dean,The First Thing Ev'ry Morning (And the Last Thing Ev'ry Night),7/3/1965,0.38,0.28,0.36,TRRZWFD128F9359600,9431332
Major Lance,Ain't It A Shame,6/12/1965,0.77,0.73,0.7,TRCCZNX128F4269522,8330859
P.J. Proby,Somewhere,2/13/1965,0.38,0.23,0.35,TRAXDYV128F935E258,5641780
Major Lance,Too Hot To Hold,9/4/1965,0.68,0.72,0.86,TRIHAHX128F4269D49,5287788
Jackie Wilson,Danny Boy,3/6/1965,0.31,0.32,0.18,TRCUGYD12903CFB6A6,7423773
Del Shannon,Break Up,5/29/1965,0.44,0.61,0.74,TRNDRBQ12903CC1CF6,9443547
Edwin Starr,Back Street,12/11/1965,0.66,0.73,0.95,TREENGC128F4266156,1341365
Jimmy McCracklin,Think,10/30/1965,0.83,0.25,0.96,TRFYRTL128F1473806,8439423
Unit Four Plus Two,You've Never Been In Love Like This Before,7/24/1965,0.69,0.47,0.63,TRKFMCT128F92F01D0,8232492
Walter Jackson,Welcome Home,6/19/1965,0.49,0.39,0.51,TROUPTM128F426E452,13811769
Garnet Mimms,A Little Bit Of Soap,1/2/1965,0.63,0.65,0.92,TROYLVH128F1457EC0,7393285
Willie Mitchell,Buster Browne,7/24/1965,0.74,0.55,0.73,TRKHHCQ128F92D1266,12592518
Walter Jackson,Suddenly I'm All Alone,2/13/1965,0.43,0.41,0.5,TRIHCYW128F4270512,3344305
George Jones,The Race Is On,1/23/1965,0.57,0.74,0.86,TREPGGO128F9311CCF,5349761
Del Reeves,Girl On The Billboard,6/26/1965,0.53,0.76,0.64,TRCMYSH128F92F0865,8596549
Dee Dee Warwick,We're Doing Fine,8/7/1965,0.54,0.56,0.63,TRCSGDU128E07969F1,7254874
Mongo Santamaria,El Pussy Cat,4/3/1965,0.77,0.74,0.9,TRZQOGO128F4269849,7502536
Brenda Lee,No One,5/29/1965,0.5,0.26,0.28,TRZGCHE128F934F698,2124088
Bobby Vee,Cross My Heart,2/6/1965,0.57,0.4,0.75,TRFWKBJ128F145D754,4012147
Percy Sledge,When A Man Loves A Woman,5/28/1966,0.21,0.5,0.19,TRABBNH128F93392A1,8288836
Donovan,Sunshine Superman,9/3/1966,0.58,0.65,0.51,TRNNIIM128F427EE50,4252886
Lou Christie,Lightnin' Strikes,2/19/1966,0.65,0.51,0.7,TRAPCGP128F42264D9,1373679
Cher,Bang Bang (My Baby Shot Me Down),4/23/1966,0.54,0.39,0.65,TRFRPMT128F428231F,3337083
Stevie Wonder,Uptight (Everything's Alright),2/12/1966,0.64,0.91,0.87,TRCTPRI128F147799E,7095256
Herman's Hermits,Listen People,3/12/1966,0.49,0.32,0.22,TRGYDAB128F4267E27,8896125
Crispian St. Peters,The Pied Piper,7/23/1966,0.71,0.62,0.72,TRJOTLN12903CA55E8,3358270
Los Bravos,Black Is Black,10/1/1966,0.54,0.56,0.93,TRPJODZ128F428406B,8822386
Bob Lind,Elusive Butterfly,3/12/1966,0.5,0.57,0.75,TRFOVCU128F932A64C,7724049
Herman's Hermits,Dandy,11/5/1966,0.32,0.53,0.67,TRMIMLC128F93308E2,8446140
Count Five,Psychotic Reaction,10/15/1966,0.27,0.68,0.74,TRKCCNP128F92F88D6,7013073
Mike Douglas,The Men In My Little Girl's Life,2/5/1966,0.26,0.16,0.2,TRLWJXL128F425FA4F,3886369
Peter and Gordon,Lady Godiva,12/10/1966,0.54,0.53,0.81,TRSYYEE128F1461E68,6680646
Ray Charles,Crying Time,2/19/1966,0.34,0.24,0.33,TRGULKY12903CFDAB1,1649781
Wilson Pickett,Land Of 1000 Dances,9/10/1966,0.55,0.6,0.81,TRRAXZJ128F92F56A8,8654692
Tommy Roe,Hooray For Hazel,11/5/1966,0.71,0.55,0.93,TRGKNWH128F92F11FE,3631583
Jimmy Ruffin,What Becomes Of The Brokenhearted,10/29/1966,0.7,0.43,0.25,TRBCRKG128F92EF834,5373279
Tommy Roe,Sweet Pea,7/30/1966,0.43,0.78,0.6,TRZJAPJ12903CA1594,3631582
Bobby Darin,If I Were A Carpenter,11/5/1966,0.55,0.26,0.73,TROJVOL128F92D003D,7122781
Herman's Hermits,A Must To Avoid,1/22/1966,0.5,0.71,0.79,TRSZVOI128F93308F2,8896127
James Brown,It's A Man's Man's Man's World,6/4/1966,0.4,0.15,0.4,TRPCLYN128F9322B51,12611687
Lee Dorsey,Working In The Coal Mine,9/3/1966,0.72,0.68,0.89,TRARCKY12903CF8E48,10213049
Stevie Wonder,A Place In The Sun,12/24/1966,0.55,0.37,0.74,TRQGKZM128F1496447,7095278
Bobby Fuller Four,I Fought The Law,3/12/1966,0.56,0.9,0.96,TRMYWHV12903CA362F,8718779
Stevie Wonder,Blowin' In The Wind,9/3/1966,0.28,0.66,0.45,TRAZHZJ128F428E851,7095253
Billy Stewart,Summertime,8/27/1966,0.65,0.62,0.74,TRNLLRH128F1484C80,3970544
Mitch Ryder,Jenny Take A Ride,1/29/1966,0.36,0.85,0.93,TRABBXU128F92FEF48,8035955
Paul Revere and the Raiders,Just Like Me,1/22/1966,0.55,0.74,0.78,TRTQOMZ12903CCC2B2,5940122
Deon Jackson,Love Makes The World Go Round,3/19/1966,0.61,0.59,0.7,TRVQNVX12903C9F5C4,2814340
Petula Clark,A Sign Of The Times,4/23/1966,0.52,0.67,0.73,TRVGLZB128F422F9C3,1999009
Sandy Posey,Single Girl,12/31/1966,0.71,0.42,0.9,TRERELY12903CC4BAE,1682260
Sandy Posey,Born A Woman,9/17/1966,0.72,0.35,0.6,TRBRXLA128F92FE5A1,1682277
Shades Of Blue,Oh How Happy,6/25/1966,0.61,0.34,0.35,TRFONCH12903CAB7B4,8404667
Jackie Lee,The Duck,1/22/1966,0.73,0.3,0.81,TRGDQAQ12903CD2251,9011063
Carla Thomas,B-A-B-Y,11/5/1966,0.46,0.17,0.73,TRCBKAX128F92F15F0,8654656
Peter and Gordon,Woman,4/2/1966,0.29,0.36,0.41,TRLBXQC128F1461E67,9193538
Slim Harpo,Baby Scratch My Back,3/19/1966,0.8,0.45,0.93,TRWMMDX128F1482082,7964572
Lou Christie,Rhapsody In The Rain,4/30/1966,0.36,0.64,0.58,TRQUXTL128F92F848A,1373681
Mitch Ryder,Little Latin Lupe Lu,4/9/1966,0.47,0.83,0.95,TRSOXGE128EF34F8A6,8035957
Swingin' Medallions,Double Shot (Of My Baby's Love),7/2/1966,0.6,0.83,0.97,TRDXHUE12903CAB7ED,8976074
Percy Sledge,Warm And Tender Love,9/3/1966,0.48,0.2,0.23,TRGOVIW12903CEBA52,5074589
Ronnie Dove,Cry,12/24/1966,0.53,0.15,0.35,TRJYREQ12903CAA816,2928696
Ronnie Dove,When Liking Turns To Loving,2/26/1966,0.25,0.17,0.22,TRIARTO12903CAA804,2928692
Herb Alpert And The Tijuana Brass,Mame,12/17/1966,0.65,0.31,0.86,TRNNSWG128F92F60B7,1318061
Brian Hyland,The Joker Went Wild,9/3/1966,0.7,0.68,0.77,TRHEYQT128F92D3824,3725984
Percy Sledge,It Tears Me Up,12/17/1966,0.42,0.34,0.42,TRAZQGW128F931197C,1432668
Ronnie Dove,Let's Start All Over Again,5/21/1966,0.39,0.37,0.35,TRYRHTN12903CAA814,2928693
Dusty Springfield,All I See Is You,10/22/1966,0.2,0.57,0.37,TROEYPJ128F1481953,6825378
Tommy James and the Shondells,Say I Am (What I Am),9/3/1966,0.67,0.84,0.88,TRHSIXW128F14A4730,10199527
Ronnie Dove,I Really Don't Want To Know,10/15/1966,0.33,0.14,0.3,TRZGYAV12903CAA809,7701227
B.J. Thomas,Mama,6/18/1966,0.66,0.21,0.26,TRUHGMG128F92F4C99,8323675
Dionne Warwick,Trains And Boats And Planes,8/6/1966,0.43,0.15,0.23,TRJZSEL128F427D7E9,5607288
Lee Dorsey,Holy Cow,12/10/1966,0.71,0.26,0.89,TRGMIPM128F92DD899,5606801
Bobby Goldsboro,It's Too Late,3/26/1966,0.51,0.58,0.65,TRILHIX128F9336017,9202778
David Houston,Almost Persuaded,10/1/1966,0.34,0.45,0.26,TRIYBPZ128F92E9D8A,12864602
Herb Alpert And The Tijuana Brass,What Now My Love,4/23/1966,0.64,0.41,0.52,TRRWLVN128F92F60A0,1317993
Len Barry,Somewhere,4/16/1966,0.63,0.36,0.74,TRUZQRB128F92FCEFA,2535729
Roger Miller,Husbands And Wives,3/19/1966,0.71,0.19,0.42,TRBENZL128F1455ECA,10060820
Herman's Hermits,East West,12/31/1966,0.4,0.57,0.66,TRSZFGO128F145B8E5,5030056
Len Barry,Like A Baby,2/5/1966,0.74,0.52,0.8,TRGQDHW128F93309DB,4815107
Ronnie Dove,Happy Summer Days,7/23/1966,0.52,0.2,0.05,TRJDRMR12903CAA80B,7701230
Eddie Floyd,Knock On Wood,12/10/1966,0.49,0.72,0.72,TRATPRA12903C9259A,3175369
Herb Alpert And The Tijuana Brass,Flamingo,10/1/1966,0.6,0.63,0.88,TRCUMGN128F92F60BD,2399134
Joe Tex,A Sweet Woman Like You,1/8/1966,0.48,0.29,0.72,TRUFMIF128F92D448F,4583396
Marvin Gaye,One More Heartache,3/26/1966,0.47,0.74,0.78,TRTJCLX128C7196B09,2921519
Al Martino,Think I'll Go Somewhere And Cry Myself To Sleep,4/9/1966,0.53,0.39,0.57,TRCCHFT128F427B052,1102294
Vic Dana,I Love You Drops,6/18/1966,0.5,0.38,0.63,TRNAZHC12903CBEEB3,2505309
Sir Douglas Quintet,The Rains Came,3/19/1966,0.59,0.75,0.94,TRUARPI128F9359381,2459641
Mel Carter,Band Of Gold,5/28/1966,0.38,0.37,0.43,TRBUZXD128F93209A7,4493979
Bob Dylan,Just Like A Woman,10/8/1966,0.27,0.47,0.3,TRHDIQB128F426B174,8383145
Dean Martin,Come Running Back,6/11/1966,0.52,0.61,0.57,TRHMFUF128F932F9AF,5057658
Eddy Arnold,I Want To Go With You,3/19/1966,0.34,0.25,0.36,TRVXKQQ128F42857FB,8596562
Fontella Bass,Recovery,1/29/1966,0.63,0.47,0.88,TRVULOI128E078FA63,1544046
Roger Miller,You Can't Roller Skate In A Buffalo Herd,7/23/1966,0.6,0.46,0.94,TRIVVNW128F149DA7B,3755091
Dee Dee Warwick,I Want To Be With You,10/29/1966,0.32,0.77,0.59,TRMYNXB128E07969FC,7254867
Freddy Cannon,The Dedication Song,3/12/1966,0.47,0.89,0.92,TRUERVN12903CBC91F,5252341
Eddy Arnold,The Tip Of My Fingers,8/27/1966,0.16,0.04,0.19,TRGOMBU128F42895B9,4044702
Marvin Gaye,Take This Heart Of Mine,7/2/1966,0.54,0.63,0.94,TROEWST128C7196B0A,2921517
