artist,track,date,danceability,energy,mood,track_id,mxm_track_id
Johnny Cash,The Ways Of A Woman In Love,9/15/1958,0.62,0.71,0.91,TRCFIFC128EF343975,8129427
Tommy Sands,Sing Boy Sing,3/10/1958,0.51,0.57,0.44,TRAJSQK12903CB1099,1982251
Jimmy Clanton,A Letter To An Angel,11/24/1958,0.34,0.23,0.32,TRIDVFJ128F92CD8A2,1029575
Marty Robbins,Just Married,5/12/1958,0.44,0.53,0.74,TRUDJCS128F92FE592,4917539
Sam Cooke,Lonely Island,4/14/1958,0.53,0.45,0.88,TRJWZZD128F92FE7E4,7483538
Duane Eddy,Ramrod,9/15/1958,0.36,0.93,0.87,TRJZHLK128F9332FD4,9678803
Sam Cooke,You Were Made For Me,4/7/1958,0.25,0.5,0.63,TRMLXPK12903CF189B,7521799
Little Richard,Ooh! My Soul,6/30/1958,0.46,0.81,0.72,TRVUQZG128F933E45A,1978851
Robert and Johnny,We Belong Together,3/3/1958,0.29,0.38,0.67,TRSBRZP128F934DE79,5426997
Bobby Helms,Jingle Bell Rock,12/29/1958,0.67,0.54,0.8,TRCBWTO128F92F32F0,13371928
Gene Allison,You Can Make It If You Try,3/10/1958,0.59,0.25,0.58,TRQVSNN128F4232A78,4540470
Buddy Holly,Rave On,6/9/1958,0.55,0.56,0.8,TRVUMZW128F933E3D1,7468210
Bobby Freeman,Betty Lou Got A New Pair Of Shoes,8/25/1958,0.55,0.68,0.92,TRHCURB12903CC5CA2,3908769
Jimmy Clanton,A Part Of Me,12/1/1958,0.45,0.37,0.73,TRECILY128F92D4D0D,7640024
Big Bopper,Big Bopper's Wedding,12/22/1958,0.58,0.79,0.96,TRCGPTK12903CF3565,7524989
Teresa Brewer,The Hula Hoop Song,10/20/1958,0.63,0.76,0.66,TRPIGWJ128F93010AA,1319993
Little Richard,Baby Face,10/27/1958,0.61,0.9,0.69,TRBHYHT12903CB3AC0,907080
Bill Justis,College Man,3/24/1958,0.52,0.73,0.43,TRUODTC12903CFB267,6992760
